电影名称,电影类型,出品国家,上映年份,上映月份,上映日期,电影时长,电影评分,打分人数,想看人数,累计票房,首日票房,首周票房
蜘蛛侠：英雄远征,"动作,冒险,科幻",美国,2019,6,28,127,9,820000,502000,141700,22500,67700
头号玩家,"动作,冒险,科幻",美国,2018,3,30,140,9,1010000,105000,139600,8569,39000
速度与激情9,"动作,犯罪,冒险",美国,2021,5,21,142,7.9,620000,1281000,139200,31700,87700
奇迹·笨小孩,剧情,中国大陆,2022,2,1,106,9.5,600000,678000,137900,18200,66800
泰坦尼克号,"剧情,爱情,灾难",美国,1998,4,3,194,9.6,40000,111000,136500,136500,136500
后来的我们,"剧情,爱情",中国大陆,2018,4,28,120,8.3,1440000,911000,136100,28500,56200
一出好戏,"剧情,喜剧",中国大陆,2018,8,10,134,8.2,1060000,412000,135500,15100,53400
坚如磐石,"剧情,犯罪,悬疑",中国大陆,2023,9,28,127,8.7,160000,479000,134900,5201,45100
误杀,"剧情,犯罪",中国大陆,2019,12,13,112,9.4,870000,55000,133300,4685,20299
怒火·重案,动作,"中国大陆,中国香港",2021,7,30,128,9.3,660000,406000,132900,5876,24000
中国医生,剧情,中国大陆,2021,7,9,129,9.3,670000,475000,132800,9390,34900
拆弹专家2,"动作,犯罪","中国大陆,中国香港",2020,12,24,121,9.2,560000,310000,131400,7902,42000
扫毒2天地对决,"剧情,动作,悬疑,犯罪","中国大陆,中国香港",2019,7,5,100,9,790000,321000,131200,13400,43800
摔跤吧！爸爸,"喜剧,动作,传记,剧情",印度,2017,5,5,140,9.8,1280000,27000,129900,1576,8684
无双,"动作,惊悚,犯罪","中国大陆,中国香港",2018,9,30,130,8.9,680000,125000,127300,5481,5482
人再囧途之泰囧,"喜剧,冒险,爱情",中国大陆,2012,12,12,105,8.7,10000,23000,127000,3871,30800
西游·降魔篇,"喜剧,奇幻,冒险","中国大陆,中国香港",2013,2,10,110,8.4,10000,18000,124600,8300,8365
碟中谍6：全面瓦解,"动作,惊悚,冒险",美国,2018,8,31,148,9,580000,242000,124500,16800,53000
美国队长3,"动作,冒险,科幻",美国,2016,5,6,148,8.6,1040000,568000,124300,18000,62600
哥斯拉大战金刚,"动作,冒险,科幻",美国,2021,3,26,113,8.9,580000,507000,123200,13700,45900
寻梦环游记,"动作,动画,冒险",美国,2017,11,24,105,9.6,960000,28000,123000,1279,11800
西游记之孙悟空三打白骨精,"喜剧,动作,奇幻","中国大陆,中国香港",2016,2,8,120,7.7,660000,208000,119800,16600,76800
悬崖之上,"剧情,悬疑,动作",中国大陆,2021,4,30,120,9.1,440000,143000,119100,4688,25299
湄公河行动,"剧情,动作,犯罪",中国大陆,2016,9,30,124,9.3,1100000,58000,118600,3897,16500
人生路不熟,"喜剧,剧情",中国大陆,2023,4,28,100,9.2,310000,364000,118400,3416,21700
叶问4：完结篇,"动作,剧情,传记","中国大陆,中国香港",2019,12,20,107,9.3,680000,295000,118100,9752,32800
加勒比海盗5：死无对证,"喜剧,动作,奇幻",美国,2017,5,26,129,8.9,820000,519000,118000,13300,46800
长城,"剧情,冒险,奇幻","中国大陆,美国",2016,12,16,104,8.4,900000,242000,117300,12300,47100
心花路放,"爱情,喜剧",中国大陆,2014,9,30,118,9,580000,75000,116900,10300,61200
煎饼侠,喜剧,中国大陆,2015,7,17,113,8.5,1220000,175000,116000,13200,43000
金刚：骷髅岛,"动作,冒险,奇幻",美国,2017,3,24,118,8.3,730000,85000,115800,15000,50100
大黄蜂,"动作,冒险,科幻",美国,2019,1,4,114,9.1,700000,170000,114900,11100,40500
金刚川,"战争,剧情,历史",中国大陆,2020,10,23,122,9.4,600000,125000,112700,10400,35800
极限特工：终极回归,"动作,惊悚,冒险",美国,2017,2,10,107,8.7,690000,132000,112500,14300,43400
误杀2,"剧情,犯罪,家庭",中国大陆,2021,12,17,118,9,430000,440000,112100,9251,34700
澳门风云3,"喜剧,动作",中国大陆,2016,2,8,112,6.9,1010000,528000,111600,17600,79100
生化危机：终章,"动作,惊悚,科幻",德国,2017,2,24,99,8.5,780000,251000,110900,21300,65400
攀登者,"剧情,冒险",中国大陆,2019,9,30,125,9.4,750000,560000,110399,16800,73000
变形金刚3,"动作,科幻",美国,2011,7,21,154,8.6,3444,539,107000,8471,41200
侏罗纪世界3,"动作,冒险,科幻",美国,2022,6,10,147,8,300000,433000,105900,9523,35500
巨齿鲨,"动作,冒险,科幻",美国,2018,8,10,113,8.7,710000,410000,105300,10600,34700
乘风破浪,"剧情,喜剧,冒险",中国大陆,2017,1,28,102,8.7,700000,50000,104600,6773,12900
西游记之大闹天宫,"动作,奇幻","中国大陆,中国香港",2014,1,31,119,5.2,40000,25000,104400,12800,32100
神偷奶爸3,"喜剧,动画,冒险",美国,2017,7,7,90,8.8,720000,251000,103699,13700,44400
刺杀小说家,"奇幻,动作,冒险",中国大陆,2021,2,12,130,8.6,440000,501000,103500,13700,31400
惊奇队长,"动作,冒险,科幻",美国,2019,3,8,123,8.7,480000,433000,103500,21500,59800
前任4：英年早婚,"爱情,喜剧",中国大陆,2023,9,28,129,8.7,180000,1872000,101100,9129,39100
狂暴巨兽,"动作,冒险,科幻",美国,2018,4,13,108,8.9,910000,161000,100300,9459,35000
盗墓笔记,"惊悚,悬疑,奇幻",中国大陆,2016,8,5,123,8,810000,516000,100300,16100,47800
功夫熊猫3,动画,"美国,中国大陆",2016,1,29,95,9,780000,337000,100000,10700,33900
速度与激情10,动作,美国,2023,5,17,141,8.8,230000,817000,98400,10400,54300
熊出没·重返地球,"动画,剧情,科幻",中国大陆,2022,2,1,99,9.4,310000,361000,97700,10500,56200
奇幻森林,"剧情,冒险,奇幻",美国,2016,4,15,106,8.9,790000,123000,97600,7812,31800
澳门风云2,"喜剧,动作",中国大陆,2015,2,19,110,8.7,740000,53000,97200,6455,27300
比悲伤更悲伤的故事,"剧情,爱情",中国台湾,2019,3,14,105,8.1,750000,62000,95800,1982,33300
西游记之大圣归来,动画,中国大陆,2015,7,10,89,9.3,1110000,54000,95399,1797,8653
哥斯拉2：怪兽之王,"科幻,灾难,动作",美国,2019,5,31,132,8.5,520000,325000,93699,13500,46800
穿过寒冬拥抱你,"剧情,爱情",中国大陆,2021,12,31,124,9.5,360000,638000,93600,26700,53200
无名,"谍战,悬疑,动作,剧情",中国大陆,2023,1,22,128,9,430000,592000,93100,13700,13700
扬名立万,"悬疑,喜剧,剧情",中国大陆,2021,11,11,123,9.1,440000,197000,92600,1177,13899
深海,"奇幻,动画",中国大陆,2023,1,22,112,9,570000,430000,91900,7314,7314
热烈,"青春,运动,喜剧",中国大陆,2023,7,28,124,9.4,380000,639000,91300,7560,28000
超时空同居,"喜剧,爱情,奇幻",中国大陆,2018,5,18,101,8.7,710000,132000,90300,5012,23500
老炮儿,"剧情,动作",中国大陆,2015,12,24,137,9.1,870000,199000,90100,5500,25299
阿丽塔：战斗天使,"动作,冒险,科幻",美国,2019,2,22,122,9,470000,172000,89600,12600,43600
绝地逃亡,"喜剧,动作",中国大陆,2016,7,21,104,8.5,660000,276000,88699,9827,40599
智取威虎山,战争,"中国大陆,中国香港",2014,12,23,141,9.2,780000,41000,88300,1707,32000
银河补习班,"剧情,家庭",中国大陆,2019,7,18,147,9.4,880000,222000,87800,6471,35700
星际穿越,"剧情,科幻,冒险",美国,2014,11,12,169,9.3,480000,111000,87600,3340,26800
碟中谍5：神秘国度,"动作,惊悚,冒险",美国,2015,9,8,132,9,870000,406000,86800,10700,55100
温暖的抱抱,喜剧,中国大陆,2020,12,31,112,8.5,500000,330000,86400,19400,52300
冰雪奇缘2,"喜剧,动画,冒险",美国,2019,11,22,104,8.9,440000,204000,86000,7407,37500
我的姐姐,"剧情,家庭",中国大陆,2021,4,2,127,8.8,590000,483000,86000,6239,34900
巨齿鲨2：深渊,"冒险,动作,科幻","中国大陆,美国",2023,8,4,119,8.9,150000,677000,85100,14500,38000
长空之王,"剧情,动作",中国大陆,2023,4,28,128,9.5,320000,561000,85000,7516,27799
夺冠,剧情,"中国大陆,中国香港",2020,9,25,135,8.9,300000,515000,83600,5532,16900
狮子王,"剧情,动画,冒险",美国,2019,7,12,118,8.8,390000,192000,83300,9699,37500
蚁人2：黄蜂女现身,"动作,冒险,科幻",美国,2018,8,24,119,8.8,470000,319000,83100,15400,46400
志愿军：雄兵出击,"剧情,历史,战争",中国大陆,2023,9,28,140,9.6,140000,334000,82800,2705,25000
星球大战：原力觉醒,"冒险,科幻,奇幻",美国,2016,1,9,136,8.2,770000,291000,82400,19600,34700
唐人街探案,"喜剧,动作,悬疑",中国大陆,2015,12,31,135,9,1380000,143000,82300,9186,39700
从你的全世界路过,"喜剧,爱情",中国大陆,2016,9,29,113,8.6,930000,240000,81300,7409,31100
铃芽之旅,"爱情,动画,奇幻",日本,2023,3,24,122,9,680000,830000,80700,9496,34200
X战警：天启,"动作,科幻,奇幻",美国,2016,6,3,144,8.9,710000,560000,80000,11100,38500
反贪风暴4,"剧情,动作,犯罪",中国大陆,2019,4,4,98,9,450000,161000,79900,7968,35400
无名之辈,"剧情,喜剧,犯罪",中国大陆,2018,11,16,108,9,500000,16000,79400,919,6706
