电影名称,电影类型,出品国家,上映年份,上映月份,上映日期,电影时长,电影评分,打分人数,想看人数,累计票房,首日票房,首周票房
英伦对决,"剧情,动作,犯罪",中国大陆,2017,9,30,116,8.4,270000,115000,53900,7264,14700
除暴,"犯罪,剧情,动作","中国香港,中国大陆",2020,11,20,95,8.6,210000,77000,53800,5137,19700
三生三世十里桃花,"爱情,奇幻,古装",中国大陆,2017,8,3,109,7.1,700000,811000,53500,16900,42800
警察故事2013,"剧情,动作","中国大陆,中国香港",2013,12,24,108,8,20000,15000,53400,6845,28100
妖猫传,"爱情,奇幻",中国大陆,2017,12,22,129,7.5,340000,219000,53000,7425,24300
哆啦A梦：伴我同行,"剧情,喜剧,动画",日本,2015,5,28,95,9,610000,123000,52900,2704,23800
超能陆战队,"动画,喜剧,动作",美国,2015,2,28,102,9.5,590000,41000,52600,3742,8544
澳门风云,"喜剧,动作","中国大陆,中国香港",2014,1,31,93,8.6,30000,11000,52400,2610,7321
杀破狼·贪狼,"悬疑,动作,犯罪","中国大陆,中国香港",2017,8,17,101,8.5,400000,185000,52200,6323,28000
熊出没·奇幻空间,"动画,冒险,科幻",中国大陆,2017,1,28,91,9.1,390000,30000,52100,5195,10100
小时代3：刺金时代,爱情,"中国大陆,中国台湾",2014,7,17,124,7.6,190000,72000,52000,10700,31500
北京遇上西雅图,"喜剧,爱情","中国大陆,中国香港",2013,3,21,123,8.8,10000,11000,52000,1011,7735
一步之遥,剧情,"中国大陆,美国,中国香港",2014,12,18,140,5.3,230000,76000,51300,8159,34300
愤怒的小鸟,"喜剧,动画,动作",芬兰,2016,5,20,97,8.7,460000,123000,51200,5350,19700
滚蛋吧！肿瘤君,"剧情,喜剧,爱情",中国大陆,2015,8,13,128,9,610000,99000,51000,4046,18500
动物世界,"动作,悬疑,冒险",中国大陆,2018,6,29,132,8.5,550000,194000,50900,7631,23300
我在时间尽头等你,"爱情,奇幻,喜剧",中国大陆,2020,8,25,115,8.1,550000,643000,50500,27799,42000
1921,"剧情,历史",中国大陆,2021,7,1,137,9.4,250000,426000,50400,8167,22000
黑衣人3,"动作,喜剧,科幻",美国,2012,5,25,106,8.3,1577,170,50300,4043,14900
独立日：卷土重来,"动作,冒险,科幻",美国,2016,6,24,100,8.4,370000,165000,50199,7145,23900
古墓丽影：源起之战,"悬疑,动作,惊悚",美国,2018,3,16,118,8.3,330000,154000,49700,7677,26200
盗梦空间,"动作,悬疑,惊悚,科幻","美国,英国",2010,9,1,148,9,20000,26000,49600,49600,49600
勇敢者游戏：决战丛林,"动作,冒险",美国,2018,1,12,119,8.6,320000,101000,49100,7442,25800
千与千寻,"动画,冒险,奇幻,家庭",日本,2019,6,21,125,9.3,350000,247000,48800,5460,19200
紧急救援,"剧情,灾难,动作",中国大陆,2020,12,18,134,9.2,200000,652000,48500,6982,23500
小时代4：灵魂尽头,"喜剧,爱情",中国大陆,2015,7,9,116,8.3,590000,259000,48400,10600,36400
左耳,爱情,中国大陆,2015,4,24,117,7.9,560000,82000,48400,5514,19700
小时代,"青春,剧情,爱情","中国大陆,中国台湾",2013,6,27,116,7.6,10000,21000,48400,7323,26800
王牌特工：特工学院,"喜剧,动作,冒险",英国,2015,3,27,129,9.2,480000,26000,48300,3524,15400
我不是潘金莲,"剧情,喜剧",中国大陆,2016,11,18,138,7.8,350000,186000,48200,7027,20500
摆渡人,"喜剧,爱情",中国大陆,2016,12,23,140,7.8,360000,203000,48200,7942,28000
哥斯拉,科幻,"美国,日本",2014,6,13,123,8.3,90000,32000,48099,6583,23100
厉害了，我的国,纪录片,中国大陆,2018,3,2,87,9.6,120000,12000,48000,3827,9299
绿皮书,"剧情,喜剧,传记",美国,2019,3,1,130,9.5,250000,41000,47800,2537,11500
星球大战外传：侠盗一号,"动作,冒险,科幻",美国,2017,1,6,133,8,260000,100000,47699,7166,22400
王牌特工2：黄金圈,"动作,冒险,喜剧",英国,2017,10,20,141,8.7,320000,244000,47400,7831,26300
非诚勿扰2,"喜剧,爱情",中国大陆,2010,12,22,122,7.5,1074,52,47100,47100,47100
白蛇：缘起,"爱情,动画,奇幻",中国大陆,2019,1,11,99,9.3,470000,71000,46800,1028,4231
加勒比海盗4：惊涛怪浪,"动作,奇幻,冒险",美国,2011,5,20,136,7.3,1901,62,46400,4657,15100
霍比特人2：史矛革之战,"剧情,动作,冒险,奇幻","美国,新西兰",2014,2,21,161,9.1,30000,20000,46200,5600,20299
李茂扮太子,喜剧,中国大陆,2022,1,1,100,8.3,160000,245000,46200,10200,17700
缝纫机乐队,"剧情,喜剧,音乐",中国大陆,2017,9,29,117,9.2,530000,57000,45900,3776,7514
新神榜：哪吒重生,"动作,奇幻,动画",中国大陆,2021,2,12,116,8.8,180000,267000,45599,5132,13300
信条,"科幻,动作,剧情",美国,2020,9,4,151,8.3,150000,61000,45599,5706,20500
同桌的你,"剧情,爱情,青春",中国大陆,2014,4,25,98,8.5,70000,24000,45500,2563,10900
涉过愤怒的海,"剧情,犯罪,悬疑",中国大陆,2023,11,25,144,9.1,70000,376000,45800,10300,17500
敢死队3,"动作,冒险,惊悚","美国,法国",2014,9,1,126,9.2,160000,70000,45199,4245,25800
晴雅集,"奇幻,爱情,剧情",中国大陆,2020,12,25,132,8.5,480000,254000,45100,9520,25299
奥本海默,"剧情,传记,历史",美国,2023,8,30,181,9.3,90000,349000,45000,3582,22100
